"year","island","island_code","region","region_code","district","district_code","total"
"2018","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2696
"2018","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",2880
"2018","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4198
"2018","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4274
"2018","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4624
"2018","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",3776
"2018","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3186
"2018","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2825
"2018","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4057
"2018","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3917
"2018","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3536
"2018","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",3055
"2018","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4891
"2018","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",3985
"2018","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3961
"2018","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",3981
"2018","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",4744
"2018","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3842
"2018","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2900
"2018","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",569
"2019","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2963
"2019","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",3737
"2019","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3169
"2019","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3241
"2019","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",4586
"2019","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3418
"2019","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3974
"2019","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2720
"2019","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",2905
"2019","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4236
"2019","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4312
"2019","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4665
"2019","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",3810
"2019","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3215
"2019","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2850
"2019","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4093
"2019","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3951
"2019","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3568
"2019","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",3082
"2019","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4935
"2019","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4020
"2019","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3996
"2019","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4016
"2019","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",4786
"2019","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3876
"2019","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2926
"2019","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",574
"2020","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2988
"2020","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",3769
"2020","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3196
"2020","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3269
"2020","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",4625
"2020","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3447
"2020","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",4008
"2020","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2743
"2020","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",2930
