"year","island","island_code","region","region_code","district","district_code","population"
"2013","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3686
"2013","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2731
"2013","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1031
"2014","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2870
"2014","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4215
"2014","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3103
"2014","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3224
"2014","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",NA
"2014","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3435
"2014","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3798
"2014","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2679
"2014","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3247
"2014","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",3868
"2014","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4252
"2014","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4187
"2014","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",4286
"2014","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3085
"2014","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2838
"2014","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4029
"2014","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3624
"2014","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3120
"2014","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",2584
"2014","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4738
"2014","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4139
"2014","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3725
"2014","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",3850
"2014","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",4898
"2014","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3744
"2014","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2774
"2014","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1047
"2015","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2935
"2015","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4310
"2015","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3173
"2015","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3296
"2015","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",NA
"2015","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3512
"2015","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3884
"2015","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2740
"2015","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3320
"2015","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",3955
"2015","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4348
"2015","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4281
"2015","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",4383
"2015","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3155
"2015","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2902
"2015","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4120
"2015","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3706
"2015","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3190
"2015","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",2642
"2015","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4845
"2015","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4232
"2015","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3809
"2015","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",3937
"2015","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5009
"2015","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3828
"2015","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2836
"2015","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1070
"2016","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2974
"2016","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4368
"2016","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3216
"2016","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3341
"2016","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",NA
"2016","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3559
"2016","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3936
"2016","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2776
"2016","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3365
"2016","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4008
"2016","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4407
"2016","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4339
"2016","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",4442
"2016","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3197
"2016","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2941
"2016","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4176
"2016","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3756
"2016","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3233
"2016","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",2678
"2016","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4911
"2016","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4289
"2016","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3860
"2016","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",3990
"2016","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5076
"2016","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3880
"2016","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2874
"2016","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1085
"2017","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",3011
"2017","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4422
"2017","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3255
"2017","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3382
"2017","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",NA
"2017","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3603
"2017","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3985
"2017","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2811
"2017","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3406
"2017","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4057
"2017","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",4461
"2017","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4392
"2017","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",4497
"2017","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3236
"2017","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",2977
"2017","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4227
"2017","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",3802
"2017","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3273
"2017","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",2711
"2017","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",4971
"2017","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4342
"2017","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3908
"2017","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4039
"2017","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5139
