"year","district","age_group","births"
2023,"Ile Perseverance","25-29",27
2023,"Ile Perseverance","30-34",18
2023,"Ile Perseverance","35-39",8
2023,"Ile Perseverance","40-44",5
2023,"Ile Perseverance","45+",2
2023,"Ile Perseverance","Not Stated",0
2023,"La Digue and Inner Islands","<15",0
2023,"La Digue and Inner Islands","15-19",2
2023,"La Digue and Inner Islands","20-24",16
2023,"La Digue and Inner Islands","25-29",7
2023,"La Digue and Inner Islands","30-34",7
2023,"La Digue and Inner Islands","35-39",6
2023,"La Digue and Inner Islands","40-44",4
2023,"La Digue and Inner Islands","45+",0
2023,"La Digue and Inner Islands","Not Stated",0
2023,"Les Mamelles","<15",0
2023,"Les Mamelles","15-19",5
2023,"Les Mamelles","20-24",11
2023,"Les Mamelles","25-29",7
2023,"Les Mamelles","30-34",7
2023,"Les Mamelles","35-39",10
2023,"Les Mamelles","40-44",2
2023,"Les Mamelles","45+",0
2023,"Les Mamelles","Not Stated",0
2023,"Mont Buxton","<15",0
2023,"Mont Buxton","15-19",4
2023,"Mont Buxton","20-24",9
2023,"Mont Buxton","25-29",17
2023,"Mont Buxton","30-34",13
2023,"Mont Buxton","35-39",7
2023,"Mont Buxton","40-44",4
2023,"Mont Buxton","45+",0
2023,"Mont Buxton","Not Stated",0
2023,"Mont Fleuri","<15",0
2023,"Mont Fleuri","15-19",5
2023,"Mont Fleuri","20-24",16
2023,"Mont Fleuri","25-29",12
2023,"Mont Fleuri","30-34",13
2023,"Mont Fleuri","35-39",7
2023,"Mont Fleuri","40-44",1
2023,"Mont Fleuri","45+",0
2023,"Mont Fleuri","Not Stated",0
2023,"Other Islands","<15",NA
2023,"Other Islands","15-19",NA
2023,"Other Islands","20-24",NA
2023,"Other Islands","25-29",NA
2023,"Other Islands","30-34",NA
2023,"Other Islands","35-39",NA
2023,"Other Islands","40-44",NA
2023,"Other Islands","45+",NA
2023,"Other Islands","Not Stated",NA
2023,"Plaisance","<15",0
2023,"Plaisance","15-19",7
2023,"Plaisance","20-24",6
2023,"Plaisance","25-29",14
2023,"Plaisance","30-34",7
2023,"Plaisance","35-39",4
2023,"Plaisance","40-44",2
2023,"Plaisance","45+",0
2023,"Plaisance","Not Stated",0
2023,"Pointe Larue","<15",0
2023,"Pointe Larue","15-19",8
2023,"Pointe Larue","20-24",15
2023,"Pointe Larue","25-29",24
2023,"Pointe Larue","30-34",15
2023,"Pointe Larue","35-39",9
2023,"Pointe Larue","40-44",7
2023,"Pointe Larue","45+",0
2023,"Pointe Larue","Not Stated",0
2023,"Port Glaud","<15",1
2023,"Port Glaud","15-19",4
2023,"Port Glaud","20-24",9
2023,"Port Glaud","25-29",9
2023,"Port Glaud","30-34",8
2023,"Port Glaud","35-39",3
2023,"Port Glaud","40-44",1
2023,"Port Glaud","45+",0
2023,"Port Glaud","Not Stated",0
2023,"Roche Caiman","<15",1
2023,"Roche Caiman","15-19",11
2023,"Roche Caiman","20-24",12
2023,"Roche Caiman","25-29",14
2023,"Roche Caiman","30-34",13
2023,"Roche Caiman","35-39",3
2023,"Roche Caiman","40-44",2
2023,"Roche Caiman","45+",0
2023,"Roche Caiman","Not Stated",0
2023,"Saint Louis","<15",1
2023,"Saint Louis","15-19",5
2023,"Saint Louis","20-24",13
2023,"Saint Louis","25-29",15
2023,"Saint Louis","30-34",16
2023,"Saint Louis","35-39",8
2023,"Saint Louis","40-44",5
2023,"Saint Louis","45+",0
2023,"Saint Louis","Not Stated",0
2023,"Takamaka","<15",1
2023,"Takamaka","15-19",4
2023,"Takamaka","20-24",12
2023,"Takamaka","25-29",8
2023,"Takamaka","30-34",10
2023,"Takamaka","35-39",5
2023,"Takamaka","40-44",1
2023,"Takamaka","45+",0
2023,"Takamaka","Not Stated",0
2023,"Not Stated","<15",NA
2023,"Not Stated","15-19",NA
2023,"Not Stated","20-24",NA
2023,"Not Stated","25-29",NA
2023,"Not Stated","30-34",NA
2023,"Not Stated","35-39",NA
2023,"Not Stated","40-44",NA
2023,"Not Stated","45+",NA
2023,"Not Stated","Not Stated",NA
2024,"Anse Aux Pins","<15",1
2024,"Anse Aux Pins","15-19",9
2024,"Anse Aux Pins","20-24",21
2024,"Anse Aux Pins","25-29",15
2024,"Anse Aux Pins","30-34",13
2024,"Anse Aux Pins","35-39",6
2024,"Anse Aux Pins","40-44",2
2024,"Anse Aux Pins","45+",0
2024,"Anse Aux Pins","Not Stated",0
2024,"Anse Boileau","<15",0
2024,"Anse Boileau","15-19",3
2024,"Anse Boileau","20-24",18
2024,"Anse Boileau","25-29",20
2024,"Anse Boileau","30-34",18
2024,"Anse Boileau","35-39",2
2024,"Anse Boileau","40-44",1
2024,"Anse Boileau","45+",0
2024,"Anse Boileau","Not Stated",0
2024,"Anse Etoile","<15",0
2024,"Anse Etoile","15-19",5
2024,"Anse Etoile","20-24",17
2024,"Anse Etoile","25-29",19
2024,"Anse Etoile","30-34",27
2024,"Anse Etoile","35-39",6
2024,"Anse Etoile","40-44",3
2024,"Anse Etoile","45+",0
2024,"Anse Etoile","Not Stated",0
2024,"Anse Royale","<15",0
2024,"Anse Royale","15-19",6
2024,"Anse Royale","20-24",18
2024,"Anse Royale","25-29",16
2024,"Anse Royale","30-34",13
2024,"Anse Royale","35-39",8
2024,"Anse Royale","40-44",3
2024,"Anse Royale","45+",0
2024,"Anse Royale","Not Stated",0
2024,"Au Cap","<15",0
2024,"Au Cap","15-19",10
2024,"Au Cap","20-24",17
2024,"Au Cap","25-29",15
2024,"Au Cap","30-34",20
2024,"Au Cap","35-39",4
2024,"Au Cap","40-44",5
2024,"Au Cap","45+",0
2024,"Au Cap","Not Stated",0
2024,"Baie Lazare","<15",0
2024,"Baie Lazare","15-19",5
2024,"Baie Lazare","20-24",8
2024,"Baie Lazare","25-29",9
2024,"Baie Lazare","30-34",14
2024,"Baie Lazare","35-39",9
2024,"Baie Lazare","40-44",2
2024,"Baie Lazare","45+",0
2024,"Baie Lazare","Not Stated",0
2024,"Baie Sainte Anne","<15",0
2024,"Baie Sainte Anne","15-19",7
2024,"Baie Sainte Anne","20-24",20
2024,"Baie Sainte Anne","25-29",16
2024,"Baie Sainte Anne","30-34",13
2024,"Baie Sainte Anne","35-39",9
2024,"Baie Sainte Anne","40-44",1
2024,"Baie Sainte Anne","45+",0
2024,"Baie Sainte Anne","Not Stated",0
2024,"Beau Vallon","<15",0
2024,"Beau Vallon","15-19",8
2024,"Beau Vallon","20-24",15
2024,"Beau Vallon","25-29",11
2024,"Beau Vallon","30-34",17
2024,"Beau Vallon","35-39",8
2024,"Beau Vallon","40-44",2
2024,"Beau Vallon","45+",0
2024,"Beau Vallon","Not Stated",0
2024,"Bel Air","<15",0
2024,"Bel Air","15-19",1
2024,"Bel Air","20-24",4
2024,"Bel Air","25-29",6
2024,"Bel Air","30-34",7
2024,"Bel Air","35-39",2
2024,"Bel Air","40-44",0
2024,"Bel Air","45+",0
2024,"Bel Air","Not Stated",0
2024,"Belombre","<15",0
2024,"Belombre","15-19",2
2024,"Belombre","20-24",4
2024,"Belombre","25-29",12
2024,"Belombre","30-34",6
2024,"Belombre","35-39",6
2024,"Belombre","40-44",7
2024,"Belombre","45+",0
2024,"Belombre","Not Stated",0
2024,"Cascade","<15",0
2024,"Cascade","15-19",4
2024,"Cascade","20-24",11
2024,"Cascade","25-29",15
2024,"Cascade","30-34",8
2024,"Cascade","35-39",3
2024,"Cascade","40-44",2
2024,"Cascade","45+",0
2024,"Cascade","Not Stated",0
2024,"English River","<15",0
2024,"English River","15-19",6
2024,"English River","20-24",14
2024,"English River","25-29",17
2024,"English River","30-34",13
2024,"English River","35-39",4
2024,"English River","40-44",4
2024,"English River","45+",1
2024,"English River","Not Stated",0
2024,"Glacis","<15",0
2024,"Glacis","15-19",4
2024,"Glacis","20-24",13
2024,"Glacis","25-29",13
2024,"Glacis","30-34",14
2024,"Glacis","35-39",6
2024,"Glacis","40-44",2
2024,"Glacis","45+",0
2024,"Glacis","Not Stated",0
2024,"Grand Anse Mahe","<15",0
2024,"Grand Anse Mahe","15-19",8
2024,"Grand Anse Mahe","20-24",16
2024,"Grand Anse Mahe","25-29",9
2024,"Grand Anse Mahe","30-34",14
2024,"Grand Anse Mahe","35-39",2
2024,"Grand Anse Mahe","40-44",0
2024,"Grand Anse Mahe","45+",0
2024,"Grand Anse Mahe","Not Stated",0
2024,"Grand Anse Praslin","<15",0
2024,"Grand Anse Praslin","15-19",8
2024,"Grand Anse Praslin","20-24",12
2024,"Grand Anse Praslin","25-29",13
2024,"Grand Anse Praslin","30-34",11
2024,"Grand Anse Praslin","35-39",6
2024,"Grand Anse Praslin","40-44",1
2024,"Grand Anse Praslin","45+",0
2024,"Grand Anse Praslin","Not Stated",0
2024,"Ile Perseverance","<15",1
2024,"Ile Perseverance","15-19",19
2024,"Ile Perseverance","20-24",24
2024,"Ile Perseverance","25-29",14
2024,"Ile Perseverance","30-34",11
2024,"Ile Perseverance","35-39",11
2024,"Ile Perseverance","40-44",3
2024,"Ile Perseverance","45+",1
2024,"Ile Perseverance","Not Stated",0
2024,"La Digue and Inner Islands","<15",0
2024,"La Digue and Inner Islands","15-19",3
2024,"La Digue and Inner Islands","20-24",11
2024,"La Digue and Inner Islands","25-29",9
2024,"La Digue and Inner Islands","30-34",2
2024,"La Digue and Inner Islands","35-39",3
2024,"La Digue and Inner Islands","40-44",4
2024,"La Digue and Inner Islands","45+",0
2024,"La Digue and Inner Islands","Not Stated",0
2024,"Les Mamelles","<15",0
2024,"Les Mamelles","15-19",5
2024,"Les Mamelles","20-24",8
2024,"Les Mamelles","25-29",12
2024,"Les Mamelles","30-34",7
2024,"Les Mamelles","35-39",2
2024,"Les Mamelles","40-44",0
2024,"Les Mamelles","45+",0
2024,"Les Mamelles","Not Stated",0
2024,"Mont Buxton","<15",0
2024,"Mont Buxton","15-19",7
2024,"Mont Buxton","20-24",11
2024,"Mont Buxton","25-29",14
2024,"Mont Buxton","30-34",7
2024,"Mont Buxton","35-39",6
2024,"Mont Buxton","40-44",0
2024,"Mont Buxton","45+",0
2024,"Mont Buxton","Not Stated",0
2024,"Mont Fleuri","<15",1
2024,"Mont Fleuri","15-19",12
2024,"Mont Fleuri","20-24",6
2024,"Mont Fleuri","25-29",7
2024,"Mont Fleuri","30-34",7
2024,"Mont Fleuri","35-39",7
2024,"Mont Fleuri","40-44",0
2024,"Mont Fleuri","45+",1
2024,"Mont Fleuri","Not Stated",0
2024,"Other Islands","<15",NA
2024,"Other Islands","15-19",NA
2024,"Other Islands","20-24",NA
2024,"Other Islands","25-29",NA
2024,"Other Islands","30-34",NA
2024,"Other Islands","35-39",NA
2024,"Other Islands","40-44",NA
2024,"Other Islands","45+",NA
2024,"Other Islands","Not Stated",NA
2024,"Plaisance","<15",0
2024,"Plaisance","15-19",6
2024,"Plaisance","20-24",13
2024,"Plaisance","25-29",16
2024,"Plaisance","30-34",15
2024,"Plaisance","35-39",4
2024,"Plaisance","40-44",3
2024,"Plaisance","45+",0
2024,"Plaisance","Not Stated",0
2024,"Pointe Larue","<15",0
2024,"Pointe Larue","15-19",11
2024,"Pointe Larue","20-24",13
2024,"Pointe Larue","25-29",10
2024,"Pointe Larue","30-34",11
2024,"Pointe Larue","35-39",6
2024,"Pointe Larue","40-44",0
2024,"Pointe Larue","45+",0
2024,"Pointe Larue","Not Stated",0
2024,"Port Glaud","<15",0
2024,"Port Glaud","15-19",5
2024,"Port Glaud","20-24",13
2024,"Port Glaud","25-29",8
2024,"Port Glaud","30-34",5
2024,"Port Glaud","35-39",1
2024,"Port Glaud","40-44",1
2024,"Port Glaud","45+",0
2024,"Port Glaud","Not Stated",0
2024,"Roche Caiman","<15",0
2024,"Roche Caiman","15-19",6
2024,"Roche Caiman","20-24",9
2024,"Roche Caiman","25-29",11
2024,"Roche Caiman","30-34",6
2024,"Roche Caiman","35-39",5
2024,"Roche Caiman","40-44",2
2024,"Roche Caiman","45+",0
2024,"Roche Caiman","Not Stated",0
2024,"Saint Louis","<15",0
2024,"Saint Louis","15-19",5
2024,"Saint Louis","20-24",10
2024,"Saint Louis","25-29",14
2024,"Saint Louis","30-34",13
2024,"Saint Louis","35-39",6
2024,"Saint Louis","40-44",1
2024,"Saint Louis","45+",0
2024,"Saint Louis","Not Stated",0
2024,"Takamaka","<15",0
2024,"Takamaka","15-19",4
2024,"Takamaka","20-24",14
2024,"Takamaka","25-29",8
2024,"Takamaka","30-34",9
2024,"Takamaka","35-39",6
2024,"Takamaka","40-44",0
2024,"Takamaka","45+",0
2024,"Takamaka","Not Stated",0
2024,"Not Stated","<15",0
2024,"Not Stated","15-19",0
2024,"Not Stated","20-24",0
2024,"Not Stated","25-29",0
2024,"Not Stated","30-34",0
2024,"Not Stated","35-39",0
2024,"Not Stated","40-44",0
2024,"Not Stated","45+",0
2024,"Not Stated","Not Stated",1
